localizacao,nivel_urgencia,tipo_situacao,pessoas_envolvidas
"Praça Sete de Setembro, 1317, Recife - PE",Médio,Atividade suspeita,Múltiplas pessoas
"Avenida Santos Dumont, 130, Belo Horizonte - MG",Médio,Agressão física,"Família (Homem, Mulher, Criança)"
"Alameda da República, 852, Goiânia - GO",Baixo,Roubo (sem arma),Casal
"Avenida Marechal Deodoro, 2461, Brasília - DF",Baixo,Briga doméstica,Homem
"Travessa da Paz, 1206, São Paulo - SP",Médio,Desaparecimento,Múltiplas pessoas
"Alameda XV de Novembro, 1532, Brasília - DF",Baixo,Perturbação do sossego,Idoso
"Avenida Tiradentes, 35, Rio de Janeiro - RJ",Baixo,Incêndio,Mulher
"Travessa Sete de Setembro, 371, Recife - PE",Médio,Alarme disparado,Vítima não identificada
"Praça Sete de Setembro, 339, Goiânia - GO",Alto,Briga doméstica,Mulher
"Rua XV de Novembro, 1268, Brasília - DF",Baixo,Perturbação do sossego,Múltiplas pessoas
"Rua Dom Pedro II, 390, Recife - PE",Baixo,Perturbação do sossego,Idoso
"Travessa Sete de Setembro, 1155, São Paulo - SP",Médio,Atividade suspeita,Homem
"Estrada Marechal Deodoro, 344, Curitiba - PR",Baixo,Desaparecimento,Criança
"Travessa da República, 980, Recife - PE",Baixo,Agressão física,"Família (Homem, Mulher, Criança)"
"Travessa Dom Pedro II, 950, Curitiba - PR",Médio,Desaparecimento,Suspeito(s) em fuga
"Alameda Duque de Caxias, 1389, Belo Horizonte - MG",Baixo,Briga doméstica,Homem
"Estrada da Paz, 1313, Rio de Janeiro - RJ",Baixo,Agressão física,Homem
"Praça da Paz, 2487, Fortaleza - CE",Médio,Assalto a mão armada,Mulher
"Travessa Brasil, 246, Recife - PE",Baixo,Atividade suspeita,Múltiplas pessoas
"Rua São José, 1547, Belo Horizonte - MG",Alto,Alarme disparado,Idoso
"Avenida Brasil, 44, Curitiba - PR",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Alameda do Sol, 782, Belo Horizonte - MG",Alto,Alarme disparado,Vítima não identificada
"Avenida Dom Pedro II, 1723, Manaus - AM",Baixo,Briga doméstica,Vítima não identificada
"Praça Santos Dumont, 16, Florianópolis - SC",Médio,Atividade suspeita,Múltiplas pessoas
"Travessa Brasil, 595, Manaus - AM",Médio,Furto,Suspeito(s) em fuga
"Travessa Dom Pedro II, 1169, Porto Alegre - RS",Médio,Perturbação do sossego,Vítima não identificada
"Avenida Santos Dumont, 157, Fortaleza - CE",Médio,Assalto a mão armada,Suspeito(s) em fuga
"Avenida da Paz, 1418, Salvador - BA",Alto,Alarme disparado,Homem
"Praça Barão do Rio Branco, 1177, Goiânia - GO",Baixo,Alarme disparado,N/A (Ex: Incêndio)
"Rua Dom Pedro II, 1647, Salvador - BA",Baixo,Roubo (sem arma),Grupo de homens
"Praça Santa Rita, 1380, Fortaleza - CE",Médio,Desaparecimento,Vítima não identificada
"Rua das Flores, 1089, Salvador - BA",Alto,Incêndio,Grupo de homens
"Rua das Flores, 2091, Porto Alegre - RS",Baixo,Atividade suspeita,Homem
"Avenida Marechal Deodoro, 580, Recife - PE",Baixo,Incêndio,N/A (Ex: Incêndio)
"Rua São José, 161, São Paulo - SP",Alto,Maus tratos a animais,Suspeito(s) em fuga
"Rua São José, 412, Manaus - AM",Médio,Alarme disparado,Casal
"Praça Brasil, 2004, Florianópolis - SC",Baixo,Atividade suspeita,Múltiplas pessoas
"Praça São José, 940, Porto Alegre - RS",Médio,Atividade suspeita,"Família (Homem, Mulher, Criança)"
"Travessa das Flores, 399, Goiânia - GO",Alto,Roubo (sem arma),Vítima não identificada
"Alameda das Flores, 1892, Fortaleza - CE",Baixo,Alarme disparado,Casal
"Praça Duque de Caxias, 1852, Brasília - DF",Baixo,Vandalismo,Casal
"Praça Marechal Deodoro, 1702, Goiânia - GO",Baixo,Acidente de trânsito com vítima,Vítima não identificada
"Praça da República, 1193, Florianópolis - SC",Alto,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Avenida da Paz, 125, Rio de Janeiro - RJ",Baixo,Roubo (sem arma),Mulher
"Estrada Santos Dumont, 2082, Porto Alegre - RS",Alto,Briga doméstica,Grupo de homens
"Alameda XV de Novembro, 1135, Salvador - BA",Médio,Roubo (sem arma),Idoso
"Travessa Primeiro de Maio, 259, Curitiba - PR",Baixo,Acidente de trânsito com vítima,Grupo de homens
"Rua Santa Rita, 1126, Manaus - AM",Médio,Desaparecimento,Idoso
"Travessa Santos Dumont, 143, São Paulo - SP",Médio,Vandalismo,Suspeito(s) em fuga
"Rua da Paz, 923, São Paulo - SP",Alto,Maus tratos a animais,Homem
"Alameda Tiradentes, 818, Belo Horizonte - MG",Alto,Incêndio,Criança
"Travessa Tiradentes, 2033, Brasília - DF",Médio,Atividade suspeita,Mulher
"Alameda São José, 2309, Manaus - AM",Baixo,Acidente de trânsito sem vítima,Vítima não identificada
"Praça das Flores, 1407, Recife - PE",Baixo,Assalto a mão armada,N/A (Ex: Incêndio)
"Praça Tiradentes, 276, Porto Alegre - RS",Médio,Vandalismo,Casal
"Travessa Marechal Deodoro, 1022, Curitiba - PR",Baixo,Acidente de trânsito sem vítima,Vítima não identificada
"Travessa Dom Pedro II, 1444, Salvador - BA",Baixo,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Alameda das Flores, 1134, Fortaleza - CE",Alto,Perturbação do sossego,Múltiplas pessoas
"Alameda Sete de Setembro, 2053, Curitiba - PR",Alto,Agressão física,Suspeito(s) em fuga
"Alameda XV de Novembro, 1319, Salvador - BA",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Alameda Dom Pedro II, 131, Porto Alegre - RS",Médio,Roubo (sem arma),Homem
"Avenida do Sol, 307, São Paulo - SP",Alto,Agressão física,Múltiplas pessoas
"Estrada XV de Novembro, 1579, Brasília - DF",Baixo,Desaparecimento,Idoso
"Estrada Brasil, 1024, Florianópolis - SC",Baixo,Acidente de trânsito sem vítima,Grupo de homens
"Estrada Sete de Setembro, 1085, São Paulo - SP",Alto,Furto,Vítima não identificada
"Praça São José, 1313, Curitiba - PR",Médio,Vandalismo,Homem
"Alameda XV de Novembro, 1863, Curitiba - PR",Baixo,Roubo (sem arma),Vítima não identificada
"Avenida Sete de Setembro, 107, Rio de Janeiro - RJ",Médio,Briga doméstica,Múltiplas pessoas
"Rua Duque de Caxias, 35, Fortaleza - CE",Médio,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Avenida Tiradentes, 1046, Salvador - BA",Baixo,Assalto a mão armada,Múltiplas pessoas
"Travessa Duque de Caxias, 1236, Belo Horizonte - MG",Alto,Vandalismo,Casal
"Alameda Duque de Caxias, 2341, Recife - PE",Alto,Incêndio,Homem
"Travessa Sete de Setembro, 1351, Porto Alegre - RS",Médio,Assalto a mão armada,Criança
"Travessa Marechal Deodoro, 1143, Salvador - BA",Médio,Acidente de trânsito sem vítima,Grupo de homens
"Avenida Tiradentes, 820, Fortaleza - CE",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Avenida Tiradentes, 413, Porto Alegre - RS",Médio,Furto,N/A (Ex: Incêndio)
"Praça Duque de Caxias, 1139, Manaus - AM",Baixo,Perturbação do sossego,N/A (Ex: Incêndio)
"Avenida Santos Dumont, 1625, Florianópolis - SC",Médio,Incêndio,Criança
"Alameda Tiradentes, 201, São Paulo - SP",Baixo,Briga doméstica,Grupo de homens
"Praça Barão do Rio Branco, 555, Brasília - DF",Médio,Agressão física,Vítima não identificada
"Rua das Flores, 251, Porto Alegre - RS",Baixo,Vandalismo,Suspeito(s) em fuga
"Travessa do Sol, 100, Belo Horizonte - MG",Médio,Roubo (sem arma),Mulher
"Rua Marechal Deodoro, 552, Recife - PE",Alto,Agressão física,Criança
"Alameda da Paz, 1362, São Paulo - SP",Alto,Agressão física,Homem
"Alameda Santa Rita, 798, Recife - PE",Médio,Maus tratos a animais,Homem
"Rua Duque de Caxias, 602, Curitiba - PR",Médio,Agressão física,Casal
"Rua Santa Rita, 1454, São Paulo - SP",Médio,Furto,Vítima não identificada
"Rua Santa Rita, 1806, Salvador - BA",Médio,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Praça Brasil, 595, Porto Alegre - RS",Médio,Perturbação do sossego,Múltiplas pessoas
"Rua Duque de Caxias, 368, Fortaleza - CE",Alto,Acidente de trânsito sem vítima,Idoso
"Alameda do Sol, 1000, Belo Horizonte - MG",Médio,Incêndio,Vítima não identificada
"Praça Duque de Caxias, 1810, Fortaleza - CE",Alto,Assalto a mão armada,Múltiplas pessoas
"Rua Barão do Rio Branco, 1191, Goiânia - GO",Médio,Furto,Homem
"Rua Primeiro de Maio, 1892, Belo Horizonte - MG",Baixo,Maus tratos a animais,Casal
"Estrada Tiradentes, 98, Florianópolis - SC",Médio,Agressão física,N/A (Ex: Incêndio)
"Travessa das Flores, 405, Salvador - BA",Médio,Furto,Homem
"Travessa Sete de Setembro, 1108, Rio de Janeiro - RJ",Médio,Vandalismo,Idoso
"Estrada XV de Novembro, 343, Curitiba - PR",Alto,Roubo (sem arma),Vítima não identificada
"Estrada Dom Pedro II, 15, Recife - PE",Médio,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Estrada Barão do Rio Branco, 1730, Florianópolis - SC",Baixo,Furto,Múltiplas pessoas
"Rua Duque de Caxias, 530, Fortaleza - CE",Baixo,Agressão física,Múltiplas pessoas
"Praça Sete de Setembro, 46, Goiânia - GO",Alto,Furto,Grupo de homens
"Travessa Santa Rita, 2200, Goiânia - GO",Alto,Maus tratos a animais,Grupo de homens
"Estrada Dom Pedro II, 557, Florianópolis - SC",Baixo,Furto,Homem
"Estrada Sete de Setembro, 383, Belo Horizonte - MG",Médio,Acidente de trânsito com vítima,Idoso
"Travessa da Paz, 2416, Brasília - DF",Baixo,Maus tratos a animais,Grupo de homens
"Avenida Marechal Deodoro, 1776, Goiânia - GO",Médio,Briga doméstica,Mulher
"Avenida Santa Rita, 312, Brasília - DF",Baixo,Desaparecimento,Múltiplas pessoas
"Estrada Marechal Deodoro, 443, Curitiba - PR",Baixo,Atividade suspeita,Grupo de homens
"Travessa Brasil, 149, Rio de Janeiro - RJ",Baixo,Incêndio,N/A (Ex: Incêndio)
"Alameda São José, 64, Florianópolis - SC",Alto,Perturbação do sossego,Suspeito(s) em fuga
"Praça XV de Novembro, 167, Curitiba - PR",Alto,Vandalismo,Vítima não identificada
"Avenida Marechal Deodoro, 351, Porto Alegre - RS",Médio,Perturbação do sossego,Múltiplas pessoas
"Alameda Primeiro de Maio, 161, Fortaleza - CE",Baixo,Assalto a mão armada,Casal
"Alameda Santos Dumont, 1056, Goiânia - GO",Baixo,Acidente de trânsito com vítima,Criança
"Alameda XV de Novembro, 1119, Brasília - DF",Médio,Maus tratos a animais,Grupo de homens
"Rua da República, 512, São Paulo - SP",Baixo,Agressão física,Homem
"Travessa Santa Rita, 1227, Salvador - BA",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Estrada das Flores, 1285, Recife - PE",Médio,Acidente de trânsito com vítima,Grupo de homens
"Rua Duque de Caxias, 2465, Salvador - BA",Baixo,Vandalismo,Casal
"Avenida Barão do Rio Branco, 204, São Paulo - SP",Baixo,Alarme disparado,Idoso
"Rua Santa Rita, 471, Salvador - BA",Baixo,Assalto a mão armada,Grupo de homens
"Rua XV de Novembro, 266, Belo Horizonte - MG",Médio,Agressão física,Homem
"Rua Santos Dumont, 2430, Curitiba - PR",Baixo,Briga doméstica,Casal
"Alameda Santos Dumont, 2250, Manaus - AM",Médio,Roubo (sem arma),N/A (Ex: Incêndio)
"Travessa das Flores, 2372, Goiânia - GO",Baixo,Alarme disparado,Múltiplas pessoas
"Estrada da Paz, 1134, Florianópolis - SC",Alto,Incêndio,"Família (Homem, Mulher, Criança)"
"Praça XV de Novembro, 192, Rio de Janeiro - RJ",Médio,Atividade suspeita,Suspeito(s) em fuga
"Rua Dom Pedro II, 28, Recife - PE",Baixo,Perturbação do sossego,Homem
"Alameda São José, 359, Rio de Janeiro - RJ",Médio,Alarme disparado,Grupo de homens
"Travessa Santa Rita, 1123, Recife - PE",Baixo,Maus tratos a animais,Múltiplas pessoas
"Avenida Tiradentes, 378, Salvador - BA",Alto,Alarme disparado,Grupo de homens
"Travessa XV de Novembro, 143, Curitiba - PR",Baixo,Roubo (sem arma),Criança
"Avenida da República, 907, Porto Alegre - RS",Médio,Roubo (sem arma),Mulher
"Rua Primeiro de Maio, 1796, Brasília - DF",Médio,Assalto a mão armada,Idoso
"Rua Tiradentes, 549, Manaus - AM",Médio,Alarme disparado,Idoso
"Travessa da Paz, 2040, Rio de Janeiro - RJ",Baixo,Roubo (sem arma),"Família (Homem, Mulher, Criança)"
"Alameda Marechal Deodoro, 1972, Brasília - DF",Baixo,Perturbação do sossego,Múltiplas pessoas
"Estrada Duque de Caxias, 174, Fortaleza - CE",Médio,Alarme disparado,Criança
"Praça das Flores, 257, Belo Horizonte - MG",Alto,Assalto a mão armada,Casal
"Avenida Santos Dumont, 1420, Curitiba - PR",Baixo,Vandalismo,Homem
"Avenida da República, 1331, Salvador - BA",Baixo,Incêndio,Grupo de homens
"Travessa da Paz, 1615, Salvador - BA",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Estrada Marechal Deodoro, 1236, Rio de Janeiro - RJ",Alto,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Travessa Tiradentes, 2346, Brasília - DF",Baixo,Assalto a mão armada,Vítima não identificada
"Avenida XV de Novembro, 953, Rio de Janeiro - RJ",Baixo,Agressão física,Múltiplas pessoas
"Avenida Marechal Deodoro, 1481, Fortaleza - CE",Baixo,Vandalismo,Vítima não identificada
"Avenida da República, 106, Goiânia - GO",Baixo,Acidente de trânsito sem vítima,Vítima não identificada
"Avenida do Sol, 1873, Rio de Janeiro - RJ",Médio,Acidente de trânsito sem vítima,Grupo de homens
"Alameda XV de Novembro, 1859, Manaus - AM",Médio,Briga doméstica,N/A (Ex: Incêndio)
"Travessa São José, 553, Porto Alegre - RS",Médio,Alarme disparado,Criança
"Alameda Primeiro de Maio, 1200, Recife - PE",Baixo,Agressão física,Suspeito(s) em fuga
"Praça da República, 1937, Florianópolis - SC",Baixo,Briga doméstica,Criança
"Travessa Brasil, 2290, Goiânia - GO",Médio,Atividade suspeita,Homem
"Alameda Tiradentes, 1721, Rio de Janeiro - RJ",Alto,Atividade suspeita,Mulher
"Avenida Sete de Setembro, 291, Manaus - AM",Médio,Incêndio,Vítima não identificada
"Alameda Barão do Rio Branco, 1396, Salvador - BA",Médio,Furto,Vítima não identificada
"Praça São José, 1466, Belo Horizonte - MG",Baixo,Atividade suspeita,Idoso
"Avenida da Paz, 798, São Paulo - SP",Médio,Maus tratos a animais,Suspeito(s) em fuga
"Praça Duque de Caxias, 1018, Belo Horizonte - MG",Baixo,Vandalismo,Grupo de homens
"Praça Marechal Deodoro, 934, Fortaleza - CE",Baixo,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Avenida Barão do Rio Branco, 2136, Brasília - DF",Alto,Alarme disparado,Homem
"Alameda Dom Pedro II, 907, Fortaleza - CE",Alto,Furto,Criança
"Travessa da Paz, 793, São Paulo - SP",Baixo,Acidente de trânsito com vítima,Mulher
"Rua XV de Novembro, 1102, Florianópolis - SC",Médio,Assalto a mão armada,Mulher
"Avenida Sete de Setembro, 1000, Recife - PE",Alto,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Alameda Tiradentes, 2362, Porto Alegre - RS",Baixo,Vandalismo,Suspeito(s) em fuga
"Estrada Santos Dumont, 182, Fortaleza - CE",Alto,Roubo (sem arma),Múltiplas pessoas
"Travessa Primeiro de Maio, 214, Porto Alegre - RS",Alto,Furto,Suspeito(s) em fuga
"Estrada Marechal Deodoro, 1899, Recife - PE",Médio,Agressão física,"Família (Homem, Mulher, Criança)"
"Travessa São José, 2354, Goiânia - GO",Médio,Furto,Homem
"Rua XV de Novembro, 355, Fortaleza - CE",Baixo,Incêndio,Suspeito(s) em fuga
"Avenida da República, 1460, Belo Horizonte - MG",Médio,Alarme disparado,Idoso
"Praça da República, 2429, Rio de Janeiro - RJ",Alto,Furto,N/A (Ex: Incêndio)
"Alameda Brasil, 168, Florianópolis - SC",Baixo,Maus tratos a animais,Vítima não identificada
"Avenida Marechal Deodoro, 656, Curitiba - PR",Baixo,Furto,"Família (Homem, Mulher, Criança)"
"Estrada Marechal Deodoro, 969, Porto Alegre - RS",Médio,Acidente de trânsito sem vítima,N/A (Ex: Incêndio)
"Rua Brasil, 1607, Fortaleza - CE",Baixo,Furto,Múltiplas pessoas
"Travessa do Sol, 2200, Florianópolis - SC",Alto,Desaparecimento,N/A (Ex: Incêndio)
"Travessa Primeiro de Maio, 532, São Paulo - SP",Baixo,Alarme disparado,Homem
"Estrada Primeiro de Maio, 261, Fortaleza - CE",Baixo,Alarme disparado,Suspeito(s) em fuga
"Travessa Sete de Setembro, 694, São Paulo - SP",Médio,Vandalismo,Múltiplas pessoas
"Avenida Primeiro de Maio, 1860, Salvador - BA",Alto,Atividade suspeita,Criança
"Estrada da República, 1389, Florianópolis - SC",Baixo,Atividade suspeita,Casal
"Avenida Santos Dumont, 923, Curitiba - PR",Médio,Acidente de trânsito sem vítima,Múltiplas pessoas
"Praça Sete de Setembro, 549, Curitiba - PR",Alto,Roubo (sem arma),Suspeito(s) em fuga
"Rua Tiradentes, 1159, Salvador - BA",Médio,Atividade suspeita,Criança
"Alameda Brasil, 825, Belo Horizonte - MG",Baixo,Agressão física,Suspeito(s) em fuga
"Rua Santa Rita, 2135, Salvador - BA",Médio,Furto,Casal
"Avenida Sete de Setembro, 624, Salvador - BA",Baixo,Desaparecimento,N/A (Ex: Incêndio)
"Travessa da República, 1868, Rio de Janeiro - RJ",Alto,Alarme disparado,N/A (Ex: Incêndio)
"Estrada Brasil, 1653, Belo Horizonte - MG",Médio,Roubo (sem arma),Idoso
"Praça XV de Novembro, 2261, Belo Horizonte - MG",Médio,Atividade suspeita,Idoso
"Travessa da Paz, 2164, Curitiba - PR",Médio,Agressão física,Múltiplas pessoas
"Avenida Tiradentes, 426, São Paulo - SP",Médio,Perturbação do sossego,Grupo de homens
"Estrada da República, 507, Brasília - DF",Médio,Desaparecimento,Idoso
"Estrada Tiradentes, 489, Recife - PE",Médio,Incêndio,N/A (Ex: Incêndio)
"Praça das Flores, 1019, Rio de Janeiro - RJ",Médio,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Estrada Barão do Rio Branco, 1304, Recife - PE",Baixo,Perturbação do sossego,Homem
"Praça Marechal Deodoro, 1231, Salvador - BA",Baixo,Agressão física,Idoso
"Estrada Dom Pedro II, 927, Brasília - DF",Médio,Roubo (sem arma),Grupo de homens
"Avenida Santa Rita, 2073, São Paulo - SP",Médio,Assalto a mão armada,Mulher
"Rua da Paz, 1152, Belo Horizonte - MG",Médio,Alarme disparado,Idoso
"Avenida Duque de Caxias, 840, São Paulo - SP",Baixo,Alarme disparado,Homem
"Travessa Marechal Deodoro, 1711, Porto Alegre - RS",Médio,Agressão física,Vítima não identificada
"Travessa Dom Pedro II, 1189, Rio de Janeiro - RJ",Alto,Alarme disparado,Criança
"Rua Barão do Rio Branco, 738, Manaus - AM",Médio,Acidente de trânsito com vítima,Casal
"Praça Marechal Deodoro, 419, Fortaleza - CE",Médio,Furto,Casal
"Rua da Paz, 2150, Florianópolis - SC",Alto,Desaparecimento,Suspeito(s) em fuga
"Alameda XV de Novembro, 429, Belo Horizonte - MG",Baixo,Alarme disparado,Suspeito(s) em fuga
"Travessa São José, 46, Rio de Janeiro - RJ",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Travessa Dom Pedro II, 2097, Porto Alegre - RS",Baixo,Assalto a mão armada,Múltiplas pessoas
"Rua Dom Pedro II, 1108, Salvador - BA",Baixo,Furto,Vítima não identificada
"Travessa da Paz, 1962, São Paulo - SP",Alto,Maus tratos a animais,Grupo de homens
"Travessa Dom Pedro II, 1726, Belo Horizonte - MG",Baixo,Incêndio,"Família (Homem, Mulher, Criança)"
"Avenida das Flores, 1199, Brasília - DF",Baixo,Perturbação do sossego,"Família (Homem, Mulher, Criança)"
"Praça Duque de Caxias, 65, Curitiba - PR",Alto,Perturbação do sossego,Grupo de homens
"Estrada do Sol, 1885, Rio de Janeiro - RJ",Baixo,Agressão física,N/A (Ex: Incêndio)
"Praça Santos Dumont, 700, Brasília - DF",Médio,Maus tratos a animais,N/A (Ex: Incêndio)
"Avenida XV de Novembro, 1192, Curitiba - PR",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
